,City Name,Latitude,Longitude,Min. Temp,Max. Temp,Cloudiness,Wind Speed,Humidity,Time
363,Chengzhong,30.95,113.55,32.0,32.0,0,4.47,74,1608497840
364,Vanavara,60.34,102.28,-20.4,-20.4,16,2.95,86,1608497840
365,Ilhabela,-23.78,-45.36,80.46,80.46,7,4.27,76,1608497840
366,Kahului,20.89,-156.47,75.0,82.4,40,12.75,61,1608497840
367,Ust'-Omchug,61.15,149.63,-28.53,-28.53,82,4.7,79,1608497840
368,Hay River,60.82,-115.8,-14.8,-13.0,100,2.24,69,1608497840
369,Isangel,-19.55,169.27,78.96,78.96,6,9.1,75,1608497840
370,General Pico,-35.66,-63.76,75.99,75.99,95,6.38,28,1608497840
371,Along,28.17,94.77,46.35,46.35,0,1.74,59,1608497840
372,Trenggalek,-8.05,111.72,73.56,73.56,100,2.84,81,1608497626
373,Neiafu,-18.65,-173.98,77.0,77.0,90,9.17,100,1608497720
374,Halifax,44.65,-63.57,30.99,35.01,100,5.82,74,1608497717
375,Laredo,27.51,-99.51,73.4,75.2,1,9.17,22,1608497823
376,Rivadavia,-33.19,-68.46,78.8,78.8,0,6.93,27,1608497841
377,Shenjiamen,29.96,122.3,44.42,44.42,0,12.35,63,1608497841
378,Barra de Tecoanapa,16.52,-98.75,83.61,83.61,100,9.53,63,1608497841
379,Phan Thiet,10.93,108.1,71.33,71.33,99,4.09,78,1608497841
380,Baruun-Urt,46.68,113.28,0.3,0.3,0,15.5,89,1608497841
381,Wieluń,51.22,18.57,32.0,35.01,4,9.51,83,1608497841
382,Chu,43.6,73.76,19.06,19.06,99,5.06,98,1608497841
383,Kyabé,9.45,18.94,75.07,75.07,0,3.85,19,1608497841
384,Port Lincoln,-34.73,135.87,59.02,59.02,28,13.2,79,1608497841
385,Gizo Government Station,-8.1,156.84,84.04,84.04,100,1.9,68,1608497841
386,Mola di Bari,41.06,17.09,51.01,53.01,93,1.7,95,1608497712
387,Novikovo,51.15,37.89,13.69,13.69,26,5.55,96,1608497842
388,Tombouctou,20.0,-3.0,63.07,63.07,0,11.7,29,1608497842
389,La Santisima Trinidad,-14.83,-64.9,93.2,93.2,20,9.17,56,1608497842
390,Jiuquan,39.74,98.52,14.61,14.61,0,1.99,67,1608497842
391,Rafaela,-31.25,-61.49,80.01,82.99,0,7.0,24,1608497842
392,Barra do Garças,-15.89,-52.26,77.0,77.0,98,2.24,94,1608497842
393,Severnyy,50.68,36.55,26.6,26.6,75,6.71,86,1608497842
394,Santa Cruz de la Sierra,-17.8,-63.17,80.6,86.0,75,4.7,83,1608497842
